museum,number,Genus,species,mass,wing,bill,tarsus,photo,age,5bar,growth,latitude,longitude,Elevation,Locality string,country,state,Sex,Day,Month,Year
LSUMZ,57787,Cyclarhis,gujanensis,,,,,,,,0,-27.74,-55.9,0,"San Carlos, Rio Aguapey, Ea. San Joaqu’«n",Argentina,Corrientes ,M,22,Jul,1961
LSUMZ,57788,Cyclarhis,gujanensis,,,,,,,,0,-27.74,-55.9,0,"San Carlos, Rio Aguapey, Ea. San Joaqu’«n",Argentina,Corrientes ,M,22,Jul,1961
LSUMZ,57789,Cyclarhis,gujanensis,,,,,,,,0,-27.74,-55.9,0,"San Carlos, Rio Aguapey, Ea. San Joaqu’«n",Argentina,Corrientes ,M,22,Jul,1961
LSUMZ,57790,Cyclarhis,gujanensis,,,,,,,,0,-27.74,-55.9,0,"San Carlos, Rio Aguapey, Ea. San Joaqu’«n",Argentina,Corrientes ,F,22,Jul,1961
LSUMZ,57791,Cyclarhis,gujanensis,,,,,,,,0,-27.74,-55.9,0,"San Carlos, Rio Aguapey, Ea. San Joaqu’«n",Argentina,Corrientes ,F,22,Jul,1961
LSUMZ,57792,Cyclarhis,gujanensis,,,,,,,,0,-27.74,-55.9,0,"San Carlos, Rio Aguapey, Ea. San Joaqu’«n",Argentina,Corrientes ,M,22,Jul,1961
LSUMZ,57793,Cyclarhis,gujanensis,,,,,,,,0,-27.74,-55.9,0,"San Carlos, Rio Aguapey, Ea. San Joaqu’«n",Argentina,Corrientes ,M,22,Jul,1961
LSUMZ,57834,Cyclarhis,gujanensis,,,,,,,,0,-27.507902,-58.554541,0,"San Luis del Palmar, Ea. Garabatí",Argentina,Corrientes ,M,22,Nov,1961
LSUMZ,57835,Cyclarhis,gujanensis,,,,,,,,0,-27.507902,-58.554541,0,"San Luis del Palmar, Ea. Garabatí",Argentina,Corrientes ,M,23,Nov,1961
LSUMZ,57836,Cyclarhis,gujanensis,,,,,,,,0,-27.507902,-58.554541,0,"San Luis del Palmar, Ea. Garabatí",Argentina,Corrientes ,M,25,Nov,1961
LSUMZ,57837,Cyclarhis,gujanensis,,,,,,,,0,-27.507902,-58.554541,0,"San Luis del Palmar, Ea. Garabatí",Argentina,Corrientes ,M,25,Nov,1961
LSUMZ,57838,Cyclarhis,gujanensis,,,,,,,,0,-27.507902,-58.554541,0,"San Luis del Palmar, Ea. Garabatí",Argentina,Corrientes ,M,26,Nov,1961
LSUMZ,57839,Cyclarhis,gujanensis,,,,,,,,0,-27.507902,-58.554541,0,"San Luis del Palmar, Ea. Garabatí",Argentina,Corrientes ,M,26,Nov,1961
LSUMZ,57840,Cyclarhis,gujanensis,,,,,,,,0,-27.507902,-58.554541,0,"San Luis del Palmar, Ea. Garabatí",Argentina,Corrientes ,F,26,Nov,1961
LSUMZ,57841,Cyclarhis,gujanensis,,,,,,,,0,-27.507902,-58.554541,0,"San Luis del Palmar, Ea. Garabatí",Argentina,Corrientes ,M,29,Nov,1961
LSUMZ,57842,Cyclarhis,gujanensis,,,,,,,,0,-27.507902,-58.554541,0,"San Luis del Palmar, Ea. Garabatí",Argentina,Corrientes ,F,29,Nov,1961
LSUMZ,57843,Cyclarhis,gujanensis,,,,,,,,0,-27.507902,-58.554541,0,"San Luis del Palmar, Ea. Garabatí",Argentina,Corrientes ,F,2,Dec,1961
LSUMZ,57844,Cyclarhis,gujanensis,,,,,,,,0,-27.507902,-58.554541,0,"San Luis del Palmar, Ea. Garabatí",Argentina,Corrientes ,M,2,Dec,1961
LSUMZ,57845,Cyclarhis,gujanensis,,,,,,,,0,-27.507902,-58.554541,0,"San Luis del Palmar, Ea. Garabatí",Argentina,Corrientes ,M,5,Dec,1961
LSUMZ,57846,Cyclarhis,gujanensis,,,,,,,,0,-27.507902,-58.554541,0,"San Luis del Palmar, Ea. Garabatí",Argentina,Corrientes ,F,8,Dec,1961
LSUMZ,57847,Cyclarhis,gujanensis,,,,,,,,0,-27.507902,-58.554541,0,"San Luis del Palmar, Ea. Garabatí",Argentina,Corrientes ,M,8,Dec,1961
